Data;Localidade;Natureza;target
01/11/2017;2;2017;22788,46177
02/11/2017;2;2017;19434,52781
03/11/2017;2;2017;21068,29961
04/11/2017;2;2017;20648,77527
05/11/2017;2;2017;20879,07923
06/11/2017;2;2017;22492,90937
07/11/2017;2;2017;20719,61755
08/11/2017;2;2017;21182,3284
09/11/2017;2;2017;21541,56325
10/11/2017;2;2017;21543,82452
11/11/2017;2;2017;20633,88788
12/11/2017;2;2017;18963,87453
13/11/2017;2;2017;21409,35104
14/11/2017;2;2017;21768,76939
15/11/2017;2;2017;21230,50577
16/11/2017;2;2017;23305,92647
17/11/2017;2;2017;24579,77777
18/11/2017;2;2017;22461,4659
19/11/2017;2;2017;21806,39818
20/11/2017;2;2017;24629,1005
21/11/2017;2;2017;24432,68366
22/11/2017;2;2017;24393,05273
23/11/2017;2;2017;22891,16915
24/11/2017;2;2017;22125,13262
25/11/2017;2;2017;21658,32014
26/11/2017;2;2017;20356,63859
27/11/2017;2;2017;23196,03359
28/11/2017;2;2017;24580,84639
29/11/2017;2;2017;22448,24091
30/11/2017;2;2017;21383,01521
01/12/2017;2;2017;20916,59856
02/12/2017;2;2017;19438,05131
03/12/2017;2;2017;19007,30913
04/12/2017;2;2017;21450,38984
05/12/2017;2;2017;22094,85251
06/12/2017;2;2017;21464,1086
07/12/2017;2;2017;21147,41915
08/12/2017;2;2017;21216,11668
09/12/2017;2;2017;20456,67346
10/12/2017;2;2017;19849,51748
11/12/2017;2;2017;22896,50613
12/12/2017;2;2017;22107,07617
13/12/2017;2;2017;22241,32857
14/12/2017;2;2017;21485,09861
15/12/2017;2;2017;22453,18498
16/12/2017;2;2017;22047,96979
17/12/2017;2;2017;20637,78279
18/12/2017;2;2017;22556,678
19/12/2017;2;2017;23325,06352
20/12/2017;2;2017;22910,04567
21/12/2017;2;2017;23193,0092
22/12/2017;2;2017;23093,1306
23/12/2017;2;2017;21826,6497
24/12/2017;2;2017;20837,77406
25/12/2017;2;2017;20343,88714
26/12/2017;2;2017;23610,22644
27/12/2017;2;2017;24223,1661
28/12/2017;2;2017;24371,2024
29/12/2017;2;2017;24103,01445
30/12/2017;2;2017;22834,63835
31/12/2017;2;2017;22051,15385
01/01/2018;2;2018;20612,40606
02/01/2018;2;2018;23541,1688
03/01/2018;2;2018;25021,44447
04/01/2018;2;2018;24183,16059
05/01/2018;2;2018;23647,31285
06/01/2018;2;2018;22567,63749
07/01/2018;2;2018;21799,28876
08/01/2018;2;2018;24779,23726
09/01/2018;2;2018;24432,88391
10/01/2018;2;2018;24618,10376
11/01/2018;2;2018;24531,94416
12/01/2018;2;2018;25392,06995
13/01/2018;2;2018;23093,82078
14/01/2018;2;2018;22095,9785
15/01/2018;2;2018;26146,75063
16/01/2018;2;2018;27461,42859
17/01/2018;2;2018;27240,69626
18/01/2018;2;2018;27071,54992
19/01/2018;2;2018;27857,30349
20/01/2018;2;2018;25522,19823
21/01/2018;2;2018;23444,04804
22/01/2018;2;2018;27229,94939
23/01/2018;2;2018;28030,73099
24/01/2018;2;2018;27210,5795
25/01/2018;2;2018;26403,18152
26/01/2018;2;2018;26654,78222
27/01/2018;2;2018;25264,50468
28/01/2018;2;2018;23102,06488
29/01/2018;2;2018;27571,95995
30/01/2018;2;2018;26407,46957
31/01/2018;2;2018;23449,06547
01/02/2018;2;2018;22587,20523
02/02/2018;2;2018;22691,41559
03/02/2018;2;2018;21931,44405
04/02/2018;2;2018;20490,20509
05/02/2018;2;2018;21910,66675
06/02/2018;2;2018;22106,5178
07/02/2018;2;2018;23676,98942
08/02/2018;2;2018;23955,02825
09/02/2018;2;2018;23819,879
10/02/2018;2;2018;21682,45822
11/02/2018;2;2018;20735,42002
12/02/2018;2;2018;21535,61426
13/02/2018;2;2018;22973,06763
14/02/2018;2;2018;25319,48474
15/02/2018;2;2018;25840,81824
16/02/2018;2;2018;25731,43397
17/02/2018;2;2018;24834,13061
18/02/2018;2;2018;21884,05735
19/02/2018;2;2018;24907,35491
20/02/2018;2;2018;25838,71688
21/02/2018;2;2018;26080,24773
22/02/2018;2;2018;25636,19098
23/02/2018;2;2018;24751,69475
24/02/2018;2;2018;22850,06406
25/02/2018;2;2018;21997,7458
26/02/2018;2;2018;24322,43085
27/02/2018;2;2018;25436,71466
28/02/2018;2;2018;26052,50468
01/03/2018;2;2018;26070,53476
02/03/2018;2;2018;25843,74275
03/03/2018;2;2018;24032,54115
04/03/2018;2;2018;22970,07044
05/03/2018;2;2018;26878,7852
06/03/2018;2;2018;26985,91399
07/03/2018;2;2018;27268,16023
08/03/2018;2;2018;26720,66056
09/03/2018;2;2018;25380,84952
10/03/2018;2;2018;22943,48448
11/03/2018;2;2018;22009,96731
12/03/2018;2;2018;25825,15744
13/03/2018;2;2018;26553,96877
14/03/2018;2;2018;26584,83562
15/03/2018;2;2018;26482,74602
16/03/2018;2;2018;27528,24827
17/03/2018;2;2018;24819,3494
18/03/2018;2;2018;22469,40774
19/03/2018;2;2018;25940,23073
20/03/2018;2;2018;27272,61278
21/03/2018;2;2018;26225,49977
22/03/2018;2;2018;25213,60817
23/03/2018;2;2018;24882,24608
24/03/2018;2;2018;24029,44946
25/03/2018;2;2018;21861,10466
26/03/2018;2;2018;24596,94907
27/03/2018;2;2018;25014,84542
28/03/2018;2;2018;24749,91194
29/03/2018;2;2018;24367,92452
30/03/2018;2;2018;21810,65514
31/03/2018;2;2018;22685,58419
01/04/2018;2;2018;22620,50156
02/04/2018;2;2018;26051,11028
03/04/2018;2;2018;26272,4687
04/04/2018;2;2018;25622,25519
05/04/2018;2;2018;25607,47973
06/04/2018;2;2018;25685,5024
07/04/2018;2;2018;22905,64544
08/04/2018;2;2018;21383,22683
09/04/2018;2;2018;23399,1575
10/04/2018;2;2018;24172,07855
11/04/2018;2;2018;22524,19366
12/04/2018;2;2018;22475,48086
13/04/2018;2;2018;23827,7747
14/04/2018;2;2018;22467,77894
